section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,60,1765440763647099657,1765440763822223657,175,966.793,905.279,11.218608939979369,-20.54208401526019
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,61,1765440763832223657,1765440764137470657,305,898.697,890.08,6.618139521731552,-19.660964564442335
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,62,1765440764187595657,1765440764362719657,175,1020.432,962.219,15.071388142925345,-24.050060555342963
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,63,1765440764382718657,1765440764557842657,175,966.673,957.448,11.38601316880387,-23.865446666832206
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,64,1765440764602967657,1765440764838090657,235,922.747,988.046,8.477981677157548,-25.89399221093925
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,65,1765440764938214657,1765440765063338657,125,920.539,1008.439,8.389149309338045,-27.20114213993124
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,66,1765440765358585657,1765440765548834657,190,855.776,914.271,3.7661763812089064,-21.24407593376121
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,67,1765440765703958657,1765440765949218657,245,970.076,342.617,11.22536691344029,15.45816418135025
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,68,1765440765969210657,1765440767615692657,1646,948.47,453.887,9.646462993682407,8.366091910208075
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,69,1765440767675820657,1765440767775816657,100,852.857,359.215,3.4851474066834394,14.496263881612096
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,70,1765440767835941657,1765440768046064657,210,738.887,223.719,-4.158587353327151,23.169947677868084
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,71,1765440768076189657,1765440768181191657,105,699.476,263.112,-6.761106303783908,20.619831994437234
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,72,1765440768296322657,1765440768571560657,275,908.857,809.946,7.1735597600365555,-14.519306746094305
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,73,1765440768871932657,1765440769427428657,555,859.728,408.18,3.9079730840774145,11.347971416839615
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,74,1765440769502427657,1765440769862800657,360,1097.814,366.486,19.527543715584407,13.733900984775909
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,75,1765440770037936657,1765440770348296657,310,788.015,437.754,-0.775306358646716,9.454324168447146
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,76,1765440770573419657,1765440770708547657,135,854.637,795.569,3.595442772306598,-13.628108483842
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,77,1765440770773674657,1765440770913791657,140,833.388,471.267,2.1724289220314286,7.2915841849414775
